Address,Case Number,Crime Against,Neighborhood,Occur Date,Occur Month Year,Occur Time,Offense Category,Offense Count,Offense Type
8300 BLOCK OF SE RHINE ST                                                                                         ,18-139714,Property,Lents,4/28/2018,4/1/2018,130,Fraud Offenses,1,Identity Theft
8300 BLOCK OF SE RHINE ST                                                                                         ,18-139714,Property,Lents,4/28/2018,4/1/2018,130,Motor Vehicle Theft,1,Motor Vehicle Theft
1400 BLOCK OF SE 72ND AVE                                                                                         ,18-138710,Property,Mt Tabor,4/26/2018,4/1/2018,1900,Larceny Offenses,1,All Other Larceny
200 BLOCK OF SE 105TH AVE                                                                                        ,18-139886,Property,Hazelwood,4/28/2018,4/1/2018,815,Vandalism,1,Vandalism
SE 21ST AVE / SE CLATSOP ST,18-142437,Property,Sellwood-Moreland,4/30/2018,4/1/2018,1524,Motor Vehicle Theft,1,Motor Vehicle Theft
14000 BLOCK OF NE SANDY BLVD                                                                                       ,18-140957,Society,Argay,4/29/2018,4/1/2018,807,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
200 BLOCK OF NE 146TH AVE                                                                                        ,18-680716,Society,Hazelwood,4/30/2018,4/1/2018,1732,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
200 BLOCK OF N HAYDEN BAY DR                                                                                     ,18-906603,Property,Hayden Island,4/27/2018,4/1/2018,100,Larceny Offenses,1,Theft From Motor Vehicle
N DENVER AVE / N LOMBARD ST,18-141481,Property,Kenton,4/29/2018,4/1/2018,1836,Vandalism,1,Vandalism
13000 BLOCK OF SE POWELL BLVD                                                                                      ,18-142680,Property,Powellhurst-Gilbert,4/30/2018,4/1/2018,1400,Vandalism,1,Vandalism
3900 BLOCK OF SE 91ST AVE                                                                                         ,18-142445,Property,Lents,4/30/2018,4/1/2018,1400,Motor Vehicle Theft,1,Motor Vehicle Theft
9700 BLOCK OF NE SANDY BLVD                                                                                       ,18-680680,Society,Parkrose,4/27/2018,4/1/2018,1734,Prostitution Offenses,1,Prostitution
17100 BLOCK OF SE POWELL BLVD                                                                                      ,18-140963,Property,Centennial,4/28/2018,4/1/2018,300,Burglary,1,Burglary
9700 BLOCK OF NE SANDY BLVD                                                                                       ,18-680686,Society,Parkrose,4/27/2018,4/1/2018,2236,Prostitution Offenses,1,Prostitution
10600 BLOCK OF SE REX ST                                                                                           ,18-138298,Property,Lents,4/26/2018,4/1/2018,2000,Larceny Offenses,1,Theft From Building
1300 BLOCK OF SW 10TH AVE                                                                                         ,18-141727,Property,Downtown,4/29/2018,4/1/2018,2328,Larceny Offenses,1,Theft From Building
4200 BLOCK OF SE 80TH AVE                                                                                         ,18-142659,Property,Foster-Powell,4/30/2018,4/1/2018,1839,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories
8300 BLOCK OF SE RHINE ST                                                                                         ,18-906634,Property,Lents,4/27/2018,4/1/2018,2045,Larceny Offenses,1,Theft From Motor Vehicle
3100 BLOCK OF NE SANDY BLVD                                                                                       ,18-906645,Property,Kerns,4/27/2018,4/1/2018,2125,Larceny Offenses,1,Theft From Motor Vehicle
200 BLOCK OF SW MARKET ST                                                                                        ,18-906066,Property,Downtown,4/19/2018,4/1/2018,530,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
1300 BLOCK OF NE 57TH AVE                                                                                         ,18-131063,Property,Rose City Park,4/21/2018,4/1/2018,130,Motor Vehicle Theft,1,Motor Vehicle Theft
